resultid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,year,round,airtemp,humidity,pressure,rainfall,tracktemp,winddirection,windspeed
23802,20,6,5,1,1,1,1,25.0,57,1:32:01.940,5521940,21,7,1:34.453,206.274,1,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23803,822,131,77,3,2,2,2,18.0,57,+0.699,5522639,22,1,1:33.740,207.842,1,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23804,1,131,44,9,3,3,3,15.0,57,+6.512,5528452,51,2,1:33.953,207.371,1,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23805,842,5,10,5,4,4,4,12.0,57,+1:02.234,5584174,46,11,1:34.863,205.382,1,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23806,825,210,20,6,5,5,5,10.0,57,+1:15.046,5596986,29,5,1:34.327,206.549,1,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23807,807,4,27,7,6,6,6,8.0,57,+1:39.024,5620964,50,9,1:34.667,205.807,1,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23808,4,1,14,13,7,7,7,6.0,56,\N,\N,47,4,1:34.168,206.898,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23809,838,1,2,14,8,8,8,4.0,56,\N,\N,30,16,1:35.131,204.803,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23810,828,15,9,17,9,9,9,2.0,56,\N,\N,26,15,1:35.093,204.885,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23811,839,10,31,8,10,10,10,1.0,56,\N,\N,38,12,1:35.043,204.993,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23812,832,4,55,10,11,11,11,0.0,56,\N,\N,35,18,1:35.535,203.937,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23813,844,15,16,19,12,12,12,0.0,56,\N,\N,35,14,1:35.075,204.924,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23814,154,210,8,16,13,13,13,0.0,56,\N,\N,44,10,1:34.689,205.759,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23815,840,3,18,20,14,14,14,0.0,56,\N,\N,40,13,1:35.058,204.961,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23816,845,3,35,18,15,15,15,0.0,56,\N,\N,47,3,1:34.053,207.151,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23817,815,10,11,12,16,16,16,0.0,56,\N,\N,32,17,1:35.266,204.513,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23818,843,5,28,11,17,17,17,0.0,56,\N,\N,42,8,1:34.563,206.034,11,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23819,8,6,7,2,\N,R,18,0.0,35,\N,\N,22,6,1:34.337,206.527,36,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23820,830,9,33,15,\N,R,19,0.0,3,\N,\N,\N,0,\N,\N,29,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23821,817,9,3,4,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,10,2018,2,27.982524271844657,47.3631067961165,1009.4941747572816,False,32.19805825242719,167.40776699029126,0.958252427184466
23822,817,9,3,6,1,1,1,25.0,56,1:35:36.380,5736380,55,1,1:35.785,204.871,1,2018,3,19.446428571428573,24.089285714285715,1018.13125,False,37.019642857142856,127.39285714285714,1.8375
23823,822,131,77,3,2,2,2,18.0,56,+8.894,5745274,50,6,1:36.987,202.332,1,2018,3,19.446428571428573,24.089285714285715,1018.13125,False,37.019642857142856,127.39285714285714,1.8375
23824,8,6,7,2,3,3,3,15.0,56,+9.637,5746017,48,3,1:36.456,203.446,1,2018,3,19.446428571428573,24.089285714285715,1018.13125,False,37.019642857142856,127.39285714285714,1.8375
23825,1,131,44,4,4,4,4,12.0,56,+16.985,5753365,20,4,1:36.878,202.559,1,2018,3,19.446428571428573,24.089285714285715,1018.13125,False,37.019642857142856,127.39285714285714,1.8375
23826,830,9,33,5,5,5,5,10.0,56,+20.436,5756816,50,2,1:36.206,203.974,1,2018,3,19.446428571428573,24.089285714285715,1018.13125,False,37.019642857142856,127.39285714285714,1.8375
23827,807,4,27,7,6,6,6,8.0,56,+21.052,5757432,56,5,1:36.881,202.553,1,2018,3,19.446428571428573,24.089285714285715,1018.13125,False,37.019642857142856,127.39285714285714,1.8375
